date,score,percent
2018-01-02,50.0,71.42857142857143
2018-01-03,50.0,71.42857142857143
2018-01-04,50.0,71.42857142857143
2018-01-05,50.0,71.42857142857143
2018-01-08,50.0,71.42857142857143
2018-01-09,40.0,57.14285714285714
2018-01-10,50.0,71.42857142857143
2018-01-11,50.0,71.42857142857143
2018-01-12,50.0,71.42857142857143
2018-01-16,50.0,71.42857142857143
2018-01-17,50.0,71.42857142857143
2018-01-18,50.0,71.42857142857143
2018-01-19,50.0,71.42857142857143
2018-01-22,50.0,71.42857142857143
2018-01-23,50.0,71.42857142857143
2018-01-24,50.0,71.42857142857143
2018-01-25,50.0,71.42857142857143
2018-01-26,50.0,71.42857142857143
2018-01-29,40.0,57.14285714285714
2018-01-30,30.0,42.857142857142854
2018-01-31,30.0,42.857142857142854
2018-02-01,20.0,28.57142857142857
2018-02-02,20.0,28.57142857142857
2018-02-05,20.0,28.57142857142857
2018-02-06,20.0,28.57142857142857
2018-02-07,-40.0,-57.14285714285714
2018-02-08,-60.0,-85.71428571428571
2018-02-09,-40.0,-57.14285714285714
2018-02-12,-10.0,-14.285714285714285
2018-02-13,-30.0,-42.857142857142854
2018-02-14,-10.0,-14.285714285714285
2018-02-15,0.0,0.0
2018-02-16,0.0,0.0
2018-02-20,-10.0,-14.285714285714285
2018-02-21,-10.0,-14.285714285714285
2018-02-22,-10.0,-14.285714285714285
2018-02-23,0.0,0.0
2018-02-26,0.0,0.0
2018-02-27,0.0,0.0
2018-02-28,-10.0,-14.285714285714285
2018-03-01,-40.0,-57.14285714285714
2018-03-02,-30.0,-42.857142857142854
2018-03-05,-30.0,-42.857142857142854
2018-03-06,10.0,14.285714285714285
2018-03-07,10.0,14.285714285714285
2018-03-08,10.0,14.285714285714285
2018-03-09,40.0,57.14285714285714
2018-03-12,20.0,28.57142857142857
2018-03-13,20.0,28.57142857142857
2018-03-14,10.0,14.285714285714285
2018-03-15,-10.0,-14.285714285714285
2018-03-16,-20.0,-28.57142857142857
2018-03-19,-10.0,-14.285714285714285
2018-03-20,-10.0,-14.285714285714285
2018-03-21,-10.0,-14.285714285714285
2018-03-22,-50.0,-71.42857142857143
2018-03-23,-70.0,-100.0
2018-03-26,-50.0,-71.42857142857143
2018-03-27,-50.0,-71.42857142857143
2018-03-28,-50.0,-71.42857142857143
2018-03-29,-30.0,-42.857142857142854
2018-04-02,-30.0,-42.857142857142854
2018-04-03,-20.0,-28.57142857142857
2018-04-04,-20.0,-28.57142857142857
2018-04-05,-10.0,-14.285714285714285
2018-04-06,-20.0,-28.57142857142857
2018-04-09,-20.0,-28.57142857142857
2018-04-10,-10.0,-14.285714285714285
2018-04-11,-20.0,-28.57142857142857
2018-04-12,-10.0,-14.285714285714285
2018-04-13,-10.0,-14.285714285714285
2018-04-16,-10.0,-14.285714285714285
2018-04-17,10.0,14.285714285714285
2018-04-18,10.0,14.285714285714285
2018-04-19,10.0,14.285714285714285
2018-04-20,20.0,28.57142857142857
2018-04-23,10.0,14.285714285714285
2018-04-24,10.0,14.285714285714285
2018-04-25,10.0,14.285714285714285
2018-04-26,10.0,14.285714285714285
2018-04-27,10.0,14.285714285714285
2018-04-30,10.0,14.285714285714285
2018-05-01,10.0,14.285714285714285
2018-05-02,-30.0,-42.857142857142854
2018-05-03,-30.0,-42.857142857142854
2018-05-04,-10.0,-14.285714285714285
2018-05-07,-10.0,-14.285714285714285
2018-05-08,-10.0,-14.285714285714285
2018-05-09,-10.0,-14.285714285714285
2018-05-10,-10.0,-14.285714285714285
2018-05-11,-10.0,-14.285714285714285
2018-05-14,10.0,14.285714285714285
2018-05-15,10.0,14.285714285714285
2018-05-16,10.0,14.285714285714285
2018-05-17,10.0,14.285714285714285
2018-05-18,20.0,28.57142857142857
2018-05-21,20.0,28.57142857142857
2018-05-22,20.0,28.57142857142857
2018-05-23,30.0,42.857142857142854
2018-05-24,30.0,42.857142857142854
2018-05-25,20.0,28.57142857142857
2018-05-29,20.0,28.57142857142857
2018-05-30,30.0,42.857142857142854
2018-05-31,20.0,28.57142857142857
2018-06-01,20.0,28.57142857142857
2018-06-04,30.0,42.857142857142854
2018-06-05,20.0,28.57142857142857
2018-06-06,20.0,28.57142857142857
2018-06-07,50.0,71.42857142857143
2018-06-08,40.0,57.14285714285714
2018-06-11,40.0,57.14285714285714
2018-06-12,40.0,57.14285714285714
2018-06-13,30.0,42.857142857142854
2018-06-14,30.0,42.857142857142854
2018-06-15,30.0,42.857142857142854
2018-06-18,20.0,28.57142857142857
2018-06-19,20.0,28.57142857142857
2018-06-20,20.0,28.57142857142857
2018-06-21,10.0,14.285714285714285
2018-06-22,20.0,28.57142857142857
2018-06-25,-20.0,-28.57142857142857
2018-06-26,-10.0,-14.285714285714285
2018-06-27,-10.0,-14.285714285714285
2018-06-28,-20.0,-28.57142857142857
2018-06-29,-20.0,-28.57142857142857
2018-07-02,-20.0,-28.57142857142857
2018-07-03,-20.0,-28.57142857142857
2018-07-05,-20.0,-28.57142857142857
2018-07-06,-20.0,-28.57142857142857
2018-07-09,-10.0,-14.285714285714285
2018-07-10,-10.0,-14.285714285714285
2018-07-11,-10.0,-14.285714285714285
2018-07-12,-10.0,-14.285714285714285
2018-07-13,0.0,0.0
2018-07-16,20.0,28.57142857142857
2018-07-17,20.0,28.57142857142857
2018-07-18,40.0,57.14285714285714
2018-07-19,30.0,42.857142857142854
2018-07-20,20.0,28.57142857142857
2018-07-23,20.0,28.57142857142857
2018-07-24,30.0,42.857142857142854
2018-07-25,50.0,71.42857142857143
